Year.Month,Comp,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
2020-07,Premier League,Sat,Home,W,5,2,Bournemouth,2.2,1.2,69
2020-07,Premier League,Thu,Away,W,3,0,Aston Villa,2.6,0.5,66
2020-07,Premier League,Mon,Home,D,2,2,Southampton,1.2,1.6,46
2020-07,Premier League,Thu,Away,W,2,0,Crystal Palace,1.8,0.8,58
2020-07,FA Cup,Sun,Neutral,L,1,3,Chelsea,0,0,51
2020-07,Premier League,Wed,Home,D,1,1,West Ham,0.7,1.8,56
2020-07,Premier League,Sun,Away,W,2,0,Leicester City,1.9,1.4,53
2020-08,Europa Lg,Wed,Home,W,2,1,at LASK,1.6,0.8,62
2020-08,Europa Lg,Mon,Home,W,1,0,dk FC Copenhagen,2.8,0.9,55
2020-08,Europa Lg,Sun,Away,L,1,2,es Sevilla,2.4,0.9,47
2020-09,Premier League,Sat,Home,L,1,3,Crystal Palace,1.1,1.6,75
2020-09,EFL Cup,Tue,Away,W,3,0,Luton Town,0,0,58
2020-09,Premier League,Sat,Away,W,3,2,Brighton,1.1,2.4,46
2020-09,EFL Cup,Wed,Away,W,3,0,Brighton,0,0,49
2020-10,Premier League,Sun,Home,L,1,6,Tottenham,0.9,3.8,38
2020-10,Premier League,Sat,Away,W,4,1,Newcastle Utd,2.7,0.5,63
2020-10,Champions Lg,Tue,Away,W,2,1,fr Paris S-G,1.6,0.9,40
2020-10,Premier League,Sat,Home,D,0,0,Chelsea,0.7,0.2,50
2020-10,Champions Lg,Wed,Home,W,5,0,de RB Leipzig,2.2,0.5,46
2021-11,Premier League,Sun,Home,L,0,1,Arsenal,0.3,1.1,53
2020-11,Champions Lg,Wed,Away,L,1,2,tr Başakşehir,0.7,0.8,68
2020-11,Premier League,Sat,Away,W,3,1,Everton,1.6,0.6,45
2020-11,Premier League,Sat,Home,W,1,0,West Brom,2.5,0.6,62
2020-11,Champions Lg,Tue,Home,W,4,1,tr Başakşehir,3.8,1,52
2020-11,Premier League,Sun,Away,W,3,2,Southampton,2.3,0.4,50
2020-12,Champions Lg,Wed,Home,L,1,3,fr Paris S-G,1.3,2.9,44
2020-12,Premier League,Sat,Away,W,3,1,West Ham,1.9,2.2,60
2020-12,Champions Lg,Tue,Away,L,2,3,de RB Leipzig,1.8,1.3,55
2020-12,Premier League,Sat,Home,D,0,0,Manchester City,1,1.2,46
2020-12,Premier League,Thu,Away,W,3,2,Sheffield Utd,2,1.6,59
2020-12,Premier League,Sun,Home,W,6,2,Leeds United,4,1.7,41
2020-12,EFL Cup,Wed,Away,W,2,0,Everton,0,0,65
2020-12,Premier League,Sat,Away,D,2,2,Leicester City,2.2,1.2,46
2020-12,Premier League,Tue,Home,W,1,0,Wolves,1.3,0.4,58
2021-01,Premier League,Fri,Home,W,2,1,Aston Villa,1.9,1.6,47
2021-01,EFL Cup,Wed,Home,L,0,2,Manchester City,0,0,40
2021-01,FA Cup,Sat,Home,W,1,0,Watford,0,0,66
2021-01,Premier League,Tue,Away,W,1,0,Burnley,1.2,0.9,62
2021-01,Premier League,Sun,Away,D,0,0,Liverpool,0.9,1.7,34
2021-01,Premier League,Wed,Away,W,2,1,Fulham,1.2,0.9,62
2021-01,FA Cup,Sun,Home,W,3,2,Liverpool,0,0,42
2021-01,Premier League,Wed,Home,L,1,2,Sheffield Utd,1.7,1,75
2021-01,Premier League,Sat,Away,D,0,0,Arsenal,1.5,1.1,57
2021-02,Premier League,Tue,Home,W,9,0,Southampton,3.7,0.5,74
2021-02,Premier League,Sat,Home,D,3,3,Everton,1.4,1.1,62
2021-02,FA Cup,Tue,Home,W,1,0,West Ham,0,0,62
2021-02,Premier League,Sun,Away,D,1,1,West Brom,0.4,1.1,73
2021-02,Europa Lg,Thu,Neutral,W,4,0,es Real Sociedad,3,0.7,40
2021-02,Premier League,Sun,Home,W,3,1,Newcastle Utd,1.8,0.5,71
2021-02,Europa Lg,Thu,Neutral,D,0,0,es Real Sociedad,0.6,1.5,57
2021-02,Premier League,Sun,Away,D,0,0,Chelsea,0.5,1.1,43
2021-03,Premier League,Wed,Away,D,0,0,Crystal Palace,0.9,0.8,61
2021-03,Premier League,Sun,Away,W,2,0,Manchester City,1.8,1.5,34
2021-03,Europa Lg,Thu,Home,D,1,1,it Milan,1.7,0.8,51
2021-03,Premier League,Sun,Home,W,1,0,West Ham,1.2,0.7,62
2021-03,Europa Lg,Thu,Away,W,1,0,it Milan,0.9,0.8,49
2021-03,FA Cup,Sun,Away,L,1,3,Leicester City,0,0,52
